Year,Date,Site,Box,Attempt,Species.J,Nest,yr,Nest.ID,Nestl.ID,Meas.day,Meas.age,tarsus,Sample.no,comments,Hem,Tarsus,Wing.Cord,Bird.Weight,Letter,Banding.Time,First,Year_1,Date_1,Site_1,Box_1,Attempt_1,Species_1,Nest.ID_1,Lat,Long,Vid.,X33,Blowflies,mites,lice,Parasites,Clutch.size.Min,Clutch.Max,Nest.Attempt,Nestling.Min,Nestling.Max,X43,hatch.success,fledge.success,Survival,DEAD.IN.NEST,Malaise.Start,Malaise.End,Malaise.Mass,Nestling.Color,Comments,First.egg,Inc.start,Exp.hatch,hatch,J.day.J,Exp.Band,Band,Expledge,Fledgeail.date,J.dayledge,days.in.nest,band.#,M1,M1.age,M1.tarsus,N1.date.2,N1.age.2,N1.tarsus.2,N1.date.3,N1.age.3,N1.tarsus.3,Moist.Inc.L,Moist.Inc.C,Moist.Inc.R,Moist.d1.L,Moist.d1.C,Moist.d1.R,Moist.band.L,Moist.band.C,Moist.band.R,X83,Site_2,Point,X86,Species_2,Date_2,nestl.d,BF,Ht.max,Ht.min,Legnth,Width,X95,X96,depth.max,depth.min,diam.max,diam.min,mass,inc.temp,hatch.temp,nestling.temp,av.diff,inc.d.av,inc.n.av,inc.b.d,inc.b.n,min.inc,max.inc,hatch.d.av,hatch.n.av,X114,X115,hatch.min,hatch.max,nestl.d.av,nestl.n.av,nestl.base.day,nestl.base.n,nestl.min,nestl.max,CV,CV.inc,CV.hatch,CV.nestl,Crit.av.n,Crit.av.d,Date.collect,P.pine,P.grass,Peathers,P.excrement,P.leaf,P.hair,P.other,feat.cov,feat.num,mass_1,av.humid,Nest.ID_2,nest.volume,hema.1,hema.2,hema.3,hema.4,hema.5,hema.max,hema.min,hema.av,CV.hema,Insect.mass,Nest.ID_3,mass.adj,adj.P.grass,adj.P.pine,adj.Peathers,adj.P.leaf,adj.P.hair,adj.P.moss,Malaise.Start_1,Malaise.End_1,D1.Tmin,D1.Tmax,D2.Tmin,D2.Tmax,D3.Tmin,D3.Tmax,D1.Prec,D2.Prec,D3.Prec,Ter.area,Ter.Dist.,Plate,Well.1,Absorbance.Well.1,Well.2,Absorbance.Well.2,Order,Avg,PBinding,Eqn,CORT,CorrectedCORT,Asym,xmid,K,Year.R,Date.R,Site.R,Box.R,Attempt.R,Species.R,Year_2,Nest.R,Meas.day.R,Meas.age.R,tarsus.R,X12,Nestl.ID_1,Hem.R,Year_1.R,Date_1.R,Site_1.R,Box_1.R,Attempt_1.R,Species_1.R,Nest.ID_1.R,Lat.R,Long.R,Vid,X25,Blowflies.R,mites.R,lice.R,Female.ID,Male.ID,Direction,Clutch.size.Min.R,Clutch.Max.R,Nest.Attempt.R,Nestling.Min.R,Nestling.Max.R,hatch.success.R,fledge.success.R,Survival.R,DEAD IN NEST,Malaise.Start.R,Malaise.End.R,Malaise Mass,Nestling.Color.R,Loc.desription,Comments.R,First.egg.R,Inc.start.R,Exp.hatch.R,hatch.R,J.day.R,Exp.Band.R,Band.R,Expledge.R,Fledgeail.date.R,band #,M1.R,M1.age.R,M1.tarsus.R,N1.date.2.R,N1.age.2.R,N1.tarsus.2.R,N1.date.3.R,N1.age.3.R,N1.tarsus.3.R,ARTH.MASS,Moist.Inc.L.R,Moist.Inc.C.R,Moist.Inc.R.R,Moist.d1.L.R,Moist.d1.C.R,Moist.d1.R.R,Moist.band.L.R,Moist.band.C.R,Moist.band.R.R,X76,Site_2.R,Point.R,X79,Species_2.R,Date_2.R,nestl.d.R,BF.R,X84,Ht.max.R,Ht.min.R,Legnth.R,Width.R,depth.max.R,depth.min.R,diam.max.R,diam.min.R,mass.R,inc.temp.R,hatch.temp.R,nestling.temp.R,inc.d. av,inc.n. av,min.inc.R,max.inc.R,hatch.d.av.R,hatch.n.av.R,hatch.min.R,hatch.max.R,nestl.d.av.R,nestl.n.av.R,nestl.min.R,nestl.max.R,Malaise.Start_1.R,Malaise.End_1.R,D1.Tmin.R,D1.Tmax.R,D2.Tmin.R,D2.Tmax.R,D3.Tmin.R,D3.Tmax.R,D1.Prec.R,D2.Prec.R,D3.Prec.R,Ter.area.R,Ter.Dist..R,Species.V,Nest.day,Nestl.day,J.day.V,Time.Start,Sum.Duration,Min,Male.Trip,Male.Trip.min,Total.M.Time,M.minutes,M.perc,Female.Trip,Female.Trip.min,Total.F.Time,F.minutes,F.perc,Unknown.Trip,Unknown.Trip.min,Total.U.time,U.minutes,U.perc,Total.Trip,Total.Trip.min,Total.minutes,T.perc,Jday.S,volume,arth.T,mass.A,Year.A,Acari.N,Blattodea.N,Coleoptera.N,Collembola.N,Diptera.N,Ephemeroptera.N,Hemiptera.N,Heteroptera.N,Hymenoptera.N,Ixodida.N,Lepidoptera.N,Mantodea.N,Mecoptera.N,Neuroptera.N,Nymphodea.N,Odonata.N,Opiliones.N,Orthoptera.N,Parasitoformes.N,Plecoptera.N,Spider.N,Trichoptera.N,Zygoptera.N,Total,p.lep,p.orth,p.cole,p.spi,p.dip,p.odo,Acari.V,Blattodea.V,Coleoptera.V,Collembola.V,Diptera.V,Ephemeroptera.V,Hemiptera.V,Heteroptera.V,Hymenoptera.V,Ixodida.V,Lepidoptera.V,Mantodea.V,Mecoptera.V,Neuroptera.V,Nymphodea.V,Odonata.V,Opiliones.V,Orthoptera.V,Parasitoformes.V,Plecoptera.V,Spider.V,Trichoptera.V,Zygoptera.V,V.Total,vp.lep,vp.orth,vp.cole,vp.spi,vp.dip,vp.odo,size.1,size.2,size.3,size.4,size.5,Vol.1,Vol.2,Vol.3,Vol.4,Vol.5,div,even,Bandage
2019,4/23/2019,DR,1,1,TRES,DR1.1,19,DR1.1.19,L3-226,3-Jun,6,9.9,279,missing 230,50,12.5,40,22,1B,9:40:00,1,2019,4/23/2019,DR,1,1,TRES,DR1.1,39.354087,-82.228981,"missing 8,10",moved,No,No,No,No,6,6,1,6,6,,1,1,1,,1-Jun,3-Jun,1.0114,AG,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,6.18,18-Jun,,,26213,3-Jun,6,11.7,6-Jun,9,12.1,7-Jun,10,12.48,2.6,2.3,0.9,0.9,2.2,1.3,2.6,1.2,0.8,41,DR,1,1,TRES,6.18.19,18,,4,3.5,12,11.5,,,,,,,105,27.42175998,23.70782209,24.25879845,,25.81100714,20.99651639,,,10.5,40.625,26.56323185,23.86340206,,,21.75,28.375,24.65827922,29.78580247,,,14.5,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,5,C7,0.662,C8,0.674,1,0.668,63.37760911,-0.398782033,0.399225218,3.992252181,13.11641,3.314835,0.3968193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,4,nestl.4,152,8:50:15,0.065972222,95,19,0.2,0.167361111,4.016666667,0.042280702,20,0.210526316,2.271527778,54.51666667,0.573859649,1,0.010526316,0.044444444,1.066666667,0.01122807,40,0.421052632,59.6,0.627368421,152,640.36375,193,0.8361,2019,0,0,2,0,163,0,4,0,17,0,6,0,0,1,0,0,0,0,0,0,0,0,0,193,0.031088083,0,0.010362694,0,0.844559585,0,0,0,31.4,0,892.1525,0,14.915,0,216.46375,0,266.9,0,0,17.27,0,0,0,0,0,0,0,0,0,1439.10125,0.185462976,0,0.021819174,0,0.61993727,0,0,183,10,0,0,0,1026.97625,412.125,0,0,0.61954025,0.345771997,10
2019,4/23/2019,DR,1,1,TRES,DR1.1,19,DR1.1.19,L3-226,3-Jun,6,9.9,279,missing 230,50,12.5,40,22,1B,9:40:00,1,2019,4/23/2019,DR,1,1,TRES,DR1.1,39.354087,-82.228981,"missing 8,10",moved,No,No,No,No,6,6,1,6,6,,1,1,1,,1-Jun,3-Jun,1.0114,AG,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,6.18,18-Jun,,,26213,3-Jun,6,11.7,6-Jun,9,12.1,7-Jun,10,12.48,2.6,2.3,0.9,0.9,2.2,1.3,2.6,1.2,0.8,41,DR,1,1,TRES,6.18.19,18,,4,3.5,12,11.5,,,,,,,105,27.42175998,23.70782209,24.25879845,,25.81100714,20.99651639,,,10.5,40.625,26.56323185,23.86340206,,,21.75,28.375,24.65827922,29.78580247,,,14.5,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,5,C7,0.662,C8,0.674,1,0.668,63.37760911,-0.398782033,0.399225218,3.992252181,13.11641,3.314835,0.3968193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,6,nestl.6,154,9:42:50,0.077997685,112.3166667,27,0.24039175,0.307638889,7.383333333,0.065736756,26,0.231488351,1.032638889,24.78333333,0.220655884,1,0.008903398,0.004861111,0.116666667,0.00103873,54,0.480783499,32.28333333,0.28743137,152,640.36375,193,0.8361,2019,0,0,2,0,163,0,4,0,17,0,6,0,0,1,0,0,0,0,0,0,0,0,0,193,0.031088083,0,0.010362694,0,0.844559585,0,0,0,31.4,0,892.1525,0,14.915,0,216.46375,0,266.9,0,0,17.27,0,0,0,0,0,0,0,0,0,1439.10125,0.185462976,0,0.021819174,0,0.61993727,0,0,183,10,0,0,0,1026.97625,412.125,0,0,0.61954025,0.345771997,10
2019,4/23/2019,DR,1,1,TRES,DR1.1,19,DR1.1.19,L2-225,3-Jun,6,10.2,278,missing 230,60,10.4,41,20.5,1A,9:40:00,2,2019,4/23/2019,DR,1,1,TRES,DR1.1,39.354087,-82.228981,"missing 8,10",moved,No,No,No,No,6,6,1,6,6,,1,1,1,,1-Jun,3-Jun,1.0114,AG,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,6.18,18-Jun,,,26213,3-Jun,6,11.7,6-Jun,9,12.1,7-Jun,10,12.48,2.6,2.3,0.9,0.9,2.2,1.3,2.6,1.2,0.8,41,DR,1,1,TRES,6.18.19,18,,4,3.5,12,11.5,,,,,,,105,27.42175998,23.70782209,24.25879845,,25.81100714,20.99651639,,,10.5,40.625,26.56323185,23.86340206,,,21.75,28.375,24.65827922,29.78580247,,,14.5,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,5,B7,0.396,B8,0.361,2,0.3785,35.91081594,0.373570668,2.363581968,23.63581968,13.11641,3.219591,0.3968193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,2,nestl.2,150,9:07:20,0.061006944,87.85,5,0.056915196,0.038888889,0.933333333,0.01062417,5,0.056915196,0.81875,19.65,0.223676722,14,0.15936255,1.308333333,31.4,0.357427433,24,0.273192943,51.98333333,0.591728325,152,640.36375,193,0.8361,2019,0,0,2,0,163,0,4,0,17,0,6,0,0,1,0,0,0,0,0,0,0,0,0,193,0.031088083,0,0.010362694,0,0.844559585,0,0,0,31.4,0,892.1525,0,14.915,0,216.46375,0,266.9,0,0,17.27,0,0,0,0,0,0,0,0,0,1439.10125,0.185462976,0,0.021819174,0,0.61993727,0,0,183,10,0,0,0,1026.97625,412.125,0,0,0.61954025,0.345771997,10
2019,4/23/2019,DR,1,1,TRES,DR1.1,19,DR1.1.19,L2-225,3-Jun,6,10.2,278,missing 230,60,10.4,41,20.5,1A,9:40:00,2,2019,4/23/2019,DR,1,1,TRES,DR1.1,39.354087,-82.228981,"missing 8,10",moved,No,No,No,No,6,6,1,6,6,,1,1,1,,1-Jun,3-Jun,1.0114,AG,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,6.18,18-Jun,,,26213,3-Jun,6,11.7,6-Jun,9,12.1,7-Jun,10,12.48,2.6,2.3,0.9,0.9,2.2,1.3,2.6,1.2,0.8,41,DR,1,1,TRES,6.18.19,18,,4,3.5,12,11.5,,,,,,,105,27.42175998,23.70782209,24.25879845,,25.81100714,20.99651639,,,10.5,40.625,26.56323185,23.86340206,,,21.75,28.375,24.65827922,29.78580247,,,14.5,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,5,B7,0.396,B8,0.361,2,0.3785,35.91081594,0.373570668,2.363581968,23.63581968,13.11641,3.219591,0.3968193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,4,nestl.4,152,8:50:15,0.065972222,95,19,0.2,0.167361111,4.016666667,0.042280702,20,0.210526316,2.271527778,54.51666667,0.573859649,1,0.010526316,0.044444444,1.066666667,0.01122807,40,0.421052632,59.6,0.627368421,152,640.36375,193,0.8361,2019,0,0,2,0,163,0,4,0,17,0,6,0,0,1,0,0,0,0,0,0,0,0,0,193,0.031088083,0,0.010362694,0,0.844559585,0,0,0,31.4,0,892.1525,0,14.915,0,216.46375,0,266.9,0,0,17.27,0,0,0,0,0,0,0,0,0,1439.10125,0.185462976,0,0.021819174,0,0.61993727,0,0,183,10,0,0,0,1026.97625,412.125,0,0,0.61954025,0.345771997,10
2019,4/23/2019,DR,1,1,TRES,DR1.1,19,DR1.1.19,L2-225,3-Jun,6,10.2,278,missing 230,60,10.4,41,20.5,1A,9:40:00,2,2019,4/23/2019,DR,1,1,TRES,DR1.1,39.354087,-82.228981,"missing 8,10",moved,No,No,No,No,6,6,1,6,6,,1,1,1,,1-Jun,3-Jun,1.0114,AG,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,6.18,18-Jun,,,26213,3-Jun,6,11.7,6-Jun,9,12.1,7-Jun,10,12.48,2.6,2.3,0.9,0.9,2.2,1.3,2.6,1.2,0.8,41,DR,1,1,TRES,6.18.19,18,,4,3.5,12,11.5,,,,,,,105,27.42175998,23.70782209,24.25879845,,25.81100714,20.99651639,,,10.5,40.625,26.56323185,23.86340206,,,21.75,28.375,24.65827922,29.78580247,,,14.5,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,5,B7,0.396,B8,0.361,2,0.3785,35.91081594,0.373570668,2.363581968,23.63581968,13.11641,3.219591,0.3968193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,6,nestl.6,154,9:42:50,0.077997685,112.3166667,27,0.24039175,0.307638889,7.383333333,0.065736756,26,0.231488351,1.032638889,24.78333333,0.220655884,1,0.008903398,0.004861111,0.116666667,0.00103873,54,0.480783499,32.28333333,0.28743137,152,640.36375,193,0.8361,2019,0,0,2,0,163,0,4,0,17,0,6,0,0,1,0,0,0,0,0,0,0,0,0,193,0.031088083,0,0.010362694,0,0.844559585,0,0,0,31.4,0,892.1525,0,14.915,0,216.46375,0,266.9,0,0,17.27,0,0,0,0,0,0,0,0,0,1439.10125,0.185462976,0,0.021819174,0,0.61993727,0,0,183,10,0,0,0,1026.97625,412.125,0,0,0.61954025,0.345771997,10
2019,5/3/2019,DR,4,1,TRES,DR4.1,19,DR4.1.19,L1-236,3-Jun,5,10.5,135,missing -234,51,12.48,38,16,1K,10:00:00,,2019,5/3/2019,DR,4,1,TRES,DR4.1,39.353618,-82.229624,missing 6.3-6.8,moved,Yes,No,Yes,Yes,7,7,1,5,7,,1,0.714285714,0.714285714,,1-Jun,3-Jun,1.0114,,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,,2-Jun,,,26213,3-Jun,5,10.5,6-Jun,8,12.2,7-Jun,9,12.48,,,,0.7,0.2,0.6,1.8,0.9,1.6,blank,DR,4,1,TRES,6.9.19,20,YES,5.5,4,12,10,,,,,,,148,28.47457067,28.08148313,29.07908163,,30.208867,26.1474102,,,14.5,38,26.781771,31.84770341,,,20,37.25,30.73314166,26.63104089,,,15.75,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,,,,,,,,,,,,13.11641,2.621104,0.3968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,2,nestl.2,150,9:10:40,0.0625,90,8,0.088888889,0.28125,6.75,0.075,8,0.088888889,2.195138889,52.68333333,0.58537037,2,0.022222222,0.081944444,1.966666667,0.021851852,18,0.2,61.4,0.682222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2019,5/3/2019,DR,4,1,TRES,DR4.1,19,DR4.1.19,L1-236,3-Jun,5,10.5,135,missing -234,51,12.48,38,16,1K,10:00:00,,2019,5/3/2019,DR,4,1,TRES,DR4.1,39.353618,-82.229624,missing 6.3-6.8,moved,Yes,No,Yes,Yes,7,7,1,5,7,,1,0.714285714,0.714285714,,1-Jun,3-Jun,1.0114,,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,,2-Jun,,,26213,3-Jun,5,10.5,6-Jun,8,12.2,7-Jun,9,12.48,,,,0.7,0.2,0.6,1.8,0.9,1.6,blank,DR,4,1,TRES,6.9.19,20,YES,5.5,4,12,10,,,,,,,148,28.47457067,28.08148313,29.07908163,,30.208867,26.1474102,,,14.5,38,26.781771,31.84770341,,,20,37.25,30.73314166,26.63104089,,,15.75,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,,,,,,,,,,,,13.11641,2.621104,0.3968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,4,nestl.4,152,8:53:00,0.062731481,90.33333333,10,0.110701107,0.111805556,2.683333333,0.029704797,10,0.110701107,2.221527778,53.31666667,0.590221402,1,0.011070111,0.029861111,0.716666667,0.007933579,21,0.232472325,32.71666667,0.362177122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2019,5/3/2019,DR,4,1,TRES,DR4.1,19,DR4.1.19,L1-236,3-Jun,5,10.5,135,missing -234,51,12.48,38,16,1K,10:00:00,,2019,5/3/2019,DR,4,1,TRES,DR4.1,39.353618,-82.229624,missing 6.3-6.8,moved,Yes,No,Yes,Yes,7,7,1,5,7,,1,0.714285714,0.714285714,,1-Jun,3-Jun,1.0114,,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,,2-Jun,,,26213,3-Jun,5,10.5,6-Jun,8,12.2,7-Jun,9,12.48,,,,0.7,0.2,0.6,1.8,0.9,1.6,blank,DR,4,1,TRES,6.9.19,20,YES,5.5,4,12,10,,,,,,,148,28.47457067,28.08148313,29.07908163,,30.208867,26.1474102,,,14.5,38,26.781771,31.84770341,,,20,37.25,30.73314166,26.63104089,,,15.75,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,,,,,,,,,,,,13.11641,2.621104,0.3968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,6,nestl.6,154,9:36:40,0.055069444,79.3,12,0.151324086,0.213888889,5.133333333,0.064733081,9,0.113493064,0.6875,16.5,0.208070618,10,0.126103405,0.35,8.4,0.10592686,31,0.390920555,30.03333333,0.378730559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2019,5/3/2019,DR,4,1,TRES,DR4.1,19,DR4.1.19,L2-237,3-Jun,5,11.8,136,missing -234,41,11.7,38,20,1L,10:00:00,,2019,5/3/2019,DR,4,1,TRES,DR4.1,39.353618,-82.229624,missing 6.3-6.8,moved,Yes,No,Yes,Yes,7,7,1,5,7,,1,0.714285714,0.714285714,,1-Jun,3-Jun,1.0114,,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,,2-Jun,,,26213,3-Jun,5,10.5,6-Jun,8,12.2,7-Jun,9,12.48,,,,0.7,0.2,0.6,1.8,0.9,1.6,blank,DR,4,1,TRES,6.9.19,20,YES,5.5,4,12,10,,,,,,,148,28.47457067,28.08148313,29.07908163,,30.208867,26.1474102,,,14.5,38,26.781771,31.84770341,,,20,37.25,30.73314166,26.63104089,,,15.75,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,,,,,,,,,,,,13.11641,2.244642,0.3968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,2,nestl.2,150,9:10:40,0.0625,90,8,0.088888889,0.28125,6.75,0.075,8,0.088888889,2.195138889,52.68333333,0.58537037,2,0.022222222,0.081944444,1.966666667,0.021851852,18,0.2,61.4,0.682222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2019,5/3/2019,DR,4,1,TRES,DR4.1,19,DR4.1.19,L2-237,3-Jun,5,11.8,136,missing -234,41,11.7,38,20,1L,10:00:00,,2019,5/3/2019,DR,4,1,TRES,DR4.1,39.353618,-82.229624,missing 6.3-6.8,moved,Yes,No,Yes,Yes,7,7,1,5,7,,1,0.714285714,0.714285714,,1-Jun,3-Jun,1.0114,,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,,2-Jun,,,26213,3-Jun,5,10.5,6-Jun,8,12.2,7-Jun,9,12.48,,,,0.7,0.2,0.6,1.8,0.9,1.6,blank,DR,4,1,TRES,6.9.19,20,YES,5.5,4,12,10,,,,,,,148,28.47457067,28.08148313,29.07908163,,30.208867,26.1474102,,,14.5,38,26.781771,31.84770341,,,20,37.25,30.73314166,26.63104089,,,15.75,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,,,,,,,,,,,,13.11641,2.244642,0.3968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,4,nestl.4,152,8:53:00,0.062731481,90.33333333,10,0.110701107,0.111805556,2.683333333,0.029704797,10,0.110701107,2.221527778,53.31666667,0.590221402,1,0.011070111,0.029861111,0.716666667,0.007933579,21,0.232472325,32.71666667,0.362177122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2019,5/3/2019,DR,4,1,TRES,DR4.1,19,DR4.1.19,L2-237,3-Jun,5,11.8,136,missing -234,41,11.7,38,20,1L,10:00:00,,2019,5/3/2019,DR,4,1,TRES,DR4.1,39.353618,-82.229624,missing 6.3-6.8,moved,Yes,No,Yes,Yes,7,7,1,5,7,,1,0.714285714,0.714285714,,1-Jun,3-Jun,1.0114,,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,,2-Jun,,,26213,3-Jun,5,10.5,6-Jun,8,12.2,7-Jun,9,12.48,,,,0.7,0.2,0.6,1.8,0.9,1.6,blank,DR,4,1,TRES,6.9.19,20,YES,5.5,4,12,10,,,,,,,148,28.47457067,28.08148313,29.07908163,,30.208867,26.1474102,,,14.5,38,26.781771,31.84770341,,,20,37.25,30.73314166,26.63104089,,,15.75,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,,,,,,,,,,,,13.11641,2.244642,0.3968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,6,nestl.6,154,9:36:40,0.055069444,79.3,12,0.151324086,0.213888889,5.133333333,0.064733081,9,0.113493064,0.6875,16.5,0.208070618,10,0.126103405,0.35,8.4,0.10592686,31,0.390920555,30.03333333,0.378730559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2019,5/3/2019,DR,4,1,TRES,DR4.1,19,DR4.1.19,L3-231,3-Jun,5,10.3,280,missing -234,47,13.53,39.5,22.5,1G,10:00:00,2,2019,5/3/2019,DR,4,1,TRES,DR4.1,39.353618,-82.229624,missing 6.3-6.8,moved,Yes,No,Yes,Yes,7,7,1,5,7,,1,0.714285714,0.714285714,,1-Jun,3-Jun,1.0114,,,9-May,14-May,5.26,5/29/2019,149,,7-Jun,,2-Jun,,,26213,3-Jun,5,10.5,6-Jun,8,12.2,7-Jun,9,12.48,,,,0.7,0.2,0.6,1.8,0.9,1.6,blank,DR,4,1,TRES,6.9.19,20,YES,5.5,4,12,10,,,,,,,148,28.47457067,28.08148313,29.07908163,,30.208867,26.1474102,,,14.5,38,26.781771,31.84770341,,,20,37.25,30.73314166,26.63104089,,,15.75,40.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun,3-Jun,19,18,15,26,21,24,0,0,0,,,5,D7,0.411,D8,0.439,1,0.425,40.32258065,0.249514016,1.776290596,17.76290596,13.11641,2.608543,0.3968195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRES,2,nestl.2,150,9:10:40,0.0625,90,8,0.088888889,0.28125,6.75,0.075,8,0.088888889,2.195138889,52.68333333,0.58537037,2,0.022222222,0.081944444,1.966666667,0.021851852,18,0.2,61.4,0.682222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
